Neutrons: Ambient per fluence, in units of pSv cm², for monoenergetic particles incident.

Energy (MeV)            Dose
    1.00E-09			6.60
    1.00E-08			9.00
    2.53E-08			10.6
    1.00E-07			12.9
    2.00E-07			13.5
    5.00E-07			13.6
    1.00E-06			13.3
    2.00E-06			12.9
    5.00E-06			12.0
    1.00E-05			11.3
    2.00E-05			10.6
    5.00E-05			9.90
    1.00E-04			9.40
    2.00E-04			8.90
    5.00E-04			8.30
    1.00E-03			7.90
    2.00E-03			7.70
    5.00E-03			8.00
    1.00E-02			10.5
    2.00E-02			16.6
    3.00E-02			23.7
    5.00E-02			41.1
    7.00E-02			60.0
    1.00E-01			88.0
    1.50E-01			132
    2.00E-01			170
    3.00E-01			233
    5.00E-01			322
    7.00E-01			375
    9.00E-01			400
    1			        416
    1.2			        425
    2			        420
    3			        412
    4			        408
    5			        405
    6         			400
    7			        405
    8			        409
    9			        420
    10			        440
    12			        480
    14      			520
    15			        540
    16      			555
    18			        570
    20			        600
